ROC,PR,,,,,,,
0.905208538,0.354966739,,,,,,,
0.918024691,0.397306469,,,,,,,
0.894922296,0.283699845,,,,,,,
0.924876359,0.308978207,,,,,,,
0.840002017,0.310787337,,,,,,,
0.880967443,0.38135215,,,,,,,
0.920636167,0.411809574,,,,,,,
0.930445194,0.388612884,,,,,,,
0.923330126,0.348327322,,,,,,,
0.920560541,0.358855482,,,,,,,
0.918583464,0.366727554,,,,,,,
0.923268302,0.361638346,,,,,,,
0.895388259,0.349047277,,,,,,,
0.93618276,0.453955273,,,,,,,
0.910009086,0.362213537,,,,,,,
0.879284195,0.241922954,,,,,,,
0.918238221,0.384465947,,,,,,,
0.935317981,0.408198272,,,,,,,
0.911522153,0.364482674,,,,,,,
0.906085293,0.36994125,,,,,,,
0.912509236,0.379284362,,,,,,,
0.94710932,0.466616765,,,,,,,
0.89153411,0.378930432,,,,,,,
0.895230024,0.379411807,,,,,,,
0.91562429,0.381546541,,,,,,,
0.896268985,0.364356332,,,,,,,
0.852344433,0.283299335,,,,,,,
0.846871304,0.32652883,,,,,,,
0.915863373,0.382183249,,,,,,,
0.845710594,0.303518281,,,,,,,
0.912187255,0.410211151,,,,,,,
0.891708502,0.336591982,,,,,,,
0.892019795,0.38985866,,,,,,,
0.91674725,0.407144815,,,,,,,
0.929160281,0.424323657,,,,,,,
0.924949184,0.40121028,,,,,,,
0.877816541,0.338197031,,,,,,,
0.880618411,0.320432699,,,,,,,
0.919719936,0.420913736,,,,,,,
0.904100386,0.399016798,,,,,,,
0.917052898,0.404592606,,,,,,,
0.915559324,0.388096587,,,,,,,
0.916260988,0.436373997,,,,,,,
0.913576216,0.366108753,,,,,,,
0.92390393,0.432232927,,,,,,,
0.91785041,0.430809997,,,,,,,
0.902927029,0.412829856,,,,,,,
0.913458888,0.396657349,,,,,,,
0.956325253,0.402598267,,,,,,,
0.913652291,0.343851105,,,,,,,
0.923644935,0.458004772,,,,,,,
0.923886896,0.377183007,,,,,,,
0.884733988,0.401584568,,,,,,,
0.88467214,0.357206869,,,,,,,
0.919430309,0.457422485,,,,,,,
0.878260346,0.371543626,,,,,,,
0.916199771,0.422815973,,,,,,,
0.87342139,0.415718413,,,,,,,
0.902993094,0.466638782,,,,,,,
0.901567665,0.448657833,,,,,,,
0.898108867,0.39556029,,,,,,,
0.889817749,0.371684344,,,,,,,
0.872177575,0.384530675,,,,,,,
0.870668375,0.356747283,,,,,,,
0.90235216,0.41108335,,,,,,,
0.864101557,0.318087517,,,,,,,
0.882743631,0.264352787,,,,,,,
0.902375561,0.362183615,,,,,,,
0.908841261,0.397081129,,,,,,,
0.895699902,0.419882658,,,,,,,
0.918684698,0.436354756,,,,,,,
0.910973147,0.423981156,,,,,,,
0.908188914,0.446782493,,,,,,,
0.851469709,0.280691207,,,,,,,
0.915984374,0.470587254,,,,,,,
0.91427997,0.45849449,,,,,,,
0.917811844,0.429269236,,,,,,,
0.922536924,0.465314138,,,,,,,
0.920012561,0.424613491,,,,,,,
0.907588585,0.448321299,,,,,,,
0.915195331,0.433689717,,,,,,,
0.918816139,0.488113379,,,,,,,
0.905540818,0.436256157,,,,,,,
0.915469037,0.452981776,,,,,,,
0.916353886,0.376316521,,,,,,,
0.910863989,0.459852776,,,,,,,
0.894292958,0.361766703,,,,,,,
0.925929044,0.478145485,,,,,,,
0.918450741,0.38304689,,,,,,,
